Product name,Product id,Listing price,Gender,Category,Rating,Reviews
  Originals Yung-96 ,EE5592,10999,Hombre,Adidas Originals,41,52
  Originals A.R. Trainers,EE5398,7999,Hombre,Adidas Originals,45,92
  Originals Fyw S-97 ,EE5304,12999,Hombre,Adidas Originals,45,29
  Originals Yung-96 ,EE7242,7999,Hombre,Adidas Originals,45,93
  Swim Bise Slippers,CM0064,1499,Hombre,Adidas Core / Neo,26,24
  Sport Inspired Grand Court ,EE7885,6599,Hombre,Adidas Core / Neo,22,1
  Swim Salon Slippers,CM0049,1499,Hombre,Adidas Core / Neo,24,83
  Running Kollide ,CL7548,4799,Hombre,Adidas Core / Neo,39,68
  Outdoor Siki ,CK1088,5599,Hombre,Adidas Sport Performance,35,73
  Running Weave ,CL7263,4999,Hombre,Adidas Core / Neo,36,50
  Running Stargon 1.0 ,CL7483,4599,Hombre,Adidas Core / Neo,5,61
  Sport Inspired Run 70S ,F34340,6599,Mujer,Adidas Core / Neo,22,35
  Sport Inspired Factor ,CL7590,4299,Hombre,Adidas Core / Neo,44,98
  Outdoor Andorian ,CM0030,4599,Hombre,Adidas Sport Performance,4,49
  Running Raddis 1.0 ,CL7468,5599,Hombre,Adidas Core / Neo,15,50
  Sport Inspired Cloudfoam Pure ,EE8076,5599,Mujer,Adidas Core / Neo,29,52
 Outdoor Ediffin Ii Sandals,CM5955,2999,Hombre,Adidas Sport Performance,34,91
  Swim Adilette Cloudfoam Plus Logo Slides,B44870,2999,Hombre,Adidas Core / Neo,47,51
  Running Weave ,CL7265,4999,Hombre,Adidas Core / Neo,25,81
  Running Stargon 1.0 ,CL7484,4599,Hombre,Adidas Core / Neo,37,48
  Sport Inspired Runigma ,CL7537,5999,Hombre,Adidas Core / Neo,36,98
  Sport Inspired Qt Racer ,EE8088,4599,Mujer,Adidas Core / Neo,42,9
  Running Furato ,CL7577,5599,Hombre,Adidas Core / Neo,15,35
  Swim Ozor Iii Slippers,CM0058,1299,Hombre,Adidas Core / Neo,43,78
  Sport Inspired Advantage Base ,EE7698,4999,Hombre,Adidas Core / Neo,1,90
  Outdoor Naha ,CM0009,5999,Hombre,Adidas Sport Performance,48,15
  Sport Inspired Grand Court ,EE7884,6999,Hombre,Adidas Core / Neo,25,2
  Running Sensebounce+ Street ,F36922,7999,Hombre,Adidas Sport Performance,27,78
Unisex  Originals Adi-Ease ,DB3114,7599,Hombre,Adidas Originals,15,47
  Runfalcon ,F36217,4999,Mujer,Adidas Core / Neo,47,24
  Sport Inspired Lite Racer Rbn ,EE8272,4999,Mujer,Adidas Core / Neo,46,35
  Running Bound ,CL7538,4999,Hombre,Adidas Core / Neo,31,73
  Originals Sleek Zip ,EF0695,7999,Mujer,Adidas Originals,38,43
  Originals Deerupt Runner ,DB3599,9999,Mujer,Adidas Originals,44,35
  Running Cyberg 1.0 ,CL7321,3599,Mujer,Adidas Core / Neo,47,53
  Originals Flb_Runner ,DB2117,7999,Mujer,Adidas Originals,49,83
  Originals Taekwondo Team ,EE4698,6599,Mujer,Adidas Originals,28,45
  Originals Sambarose ,B28166,7999,Mujer,Adidas Originals,43,66
  Originals Sleek ,DB3259,7599,Mujer,Adidas Originals,49,75
  Originals Gazelle ,EE5534,7999,Mujer,Adidas Originals,2,94
  Running Solar Blaze ,EF0811,7999,Hombre,Adidas Sport Performance,33,6
  Sport Inspired Quickspike ,CK9723,3799,Mujer,Adidas Core / Neo,1,65
  Running Cyberg 1.0 ,CL7322,3599,Mujer,Adidas Core / Neo,45,36
  Originals I-5923 ,CG6021,11999,Mujer,Adidas Originals,28,25
  Originals Pod-S3.1 ,CG6188,13999,Mujer,Adidas Originals,33,8
  Originals Sambarose ,BD7685,7999,Mujer,Adidas Originals,32,75
  Originals Sleek ,BD7475,7599,Mujer,Adidas Originals,43,94
  Originals Supercourt ,EF9226,7599,Mujer,Adidas Originals,37,57
  Sport Inspired Questar X Byd ,F34668,6599,Mujer,Adidas Core / Neo,1,77
  Sport Inspired Lite Racer ,EE8257,3799,Mujer,Adidas Core / Neo,32,26
  Originals I-5923 ,B37973,11999,Mujer,Adidas Originals,41,37
  Originals Rivalry Low ,EE7068,7599,Mujer,Adidas Originals,0,24
 Running Nova Flow ,EH1363,5999,Hombre,Adidas Core / Neo,24,6
  Originals Deerupt Runner ,EE5772,8999,Mujer,Adidas Originals,15,84
  Originals Sambarose ,CG6104,7999,Mujer,Adidas Originals,31,7
Unisex  Originals By Alexander Wang Wangbody Run ,EF2437,17999,Hombre,Adidas Originals,22,25
  Toe Side Ii Slippers,CM0070,1299,Hombre,Adidas Core / Neo,5,99
  Originals Arkyn Primeknit ,D96760,11999,Mujer,Adidas Originals,34,9
  Swim Ozor Iii Slippers,CM0077,1299,Mujer,Adidas Core / Neo,35,35
  Swimming Eezay 2019 Slippers,CM0091,1499,Mujer,Adidas Core / Neo,3,25
  Running Kollide ,CL7550,4799,Hombre,Adidas Core / Neo,1,13
  Sport Inspired Lite Racer Slip-Ons,F36675,3999,Mujer,Adidas Core / Neo,47,45
  Sport Inspired Chaos ,EF1065,6599,Mujer,Adidas Core / Neo,34,34
 Running Nova Flow ,EH1361,5999,Hombre,Adidas Core / Neo,22,13
  Swim Eezay Slippers,CL0243,1299,Mujer,Adidas Core / Neo,5,60
  Originals Pod-S3.1 ,CG6177,13999,Mujer,Adidas Originals,39,91
  Originals Superstar ,FV3288,7999,Mujer,Adidas Originals,24,33
  Originals I-5923 ,EE4949,11999,Mujer,Adidas Originals,2,39
  Originals Eqt Racing Low ,BB2344,9999,Mujer,Adidas Originals,39,34
Unisex  Originals Skateboarding 3Mc ,EE6080,5999,Hombre,Adidas Originals,1,67
  Originals Supercourt ,EE6047,7999,Mujer,Adidas Originals,36,83
  Sport Inspired Kaptir X ,EF0078,7599,Mujer,Adidas Core / Neo,22,49
  Originals Continental 80 ,EE5565,7999,Mujer,Adidas Originals,32,64
  Originals Sambarose ,EF4965,7999,Mujer,Adidas Originals,4,18
  Originals I-5923 ,EE4946,11999,Mujer,Adidas Originals,0,74
  Originals Eqt Adv Racing ,B37090,9999,Mujer,Adidas Originals,42,81
  Sport Inspired Yatra ,F36516,4299,Mujer,Adidas Core / Neo,35,30
Unisex  Originals Adi-Ease ,DB3112,5999,Hombre,Adidas Originals,34,64
 Running Nova Flow ,EH1366,5999,Hombre,Adidas Core / Neo,48,72
  Originals Tubular Shadow ,CG6164,7999,Mujer,Adidas Originals,33,87
  Originals I-5923 ,EE4959,11999,Mujer,Adidas Originals,27,43
Unisex  Originals By Alexander Wang Wangbody Run ,EF2438,17999,Hombre,Adidas Originals,37,15
  Running Asweego ,F35567,6999,Mujer,Adidas Core / Neo,28,81
  Sport Inspired Runfalcon ,EE8165,5599,Mujer,Adidas Core / Neo,29,54
  Originals Forest Grove ,EE5846,6599,Mujer,Adidas Originals,5,15
  Running Argecy ,F34846,5599,Hombre,Adidas Core / Neo,0,17
  Originals Gazelle ,B41663,7999,Mujer,Adidas Originals,32,30
  Running Erdiga 3.0 ,CK9690,4299,Hombre,Adidas Core / Neo,32,73
  Running Duramo 9 ,EE7927,6599,Hombre,Adidas Core / Neo,22,27
  Sport Inspired Nebular 2 ,CK9688,4999,Hombre,Adidas Core / Neo,32,43
  Sport Inspired Binafo ,CK9424,5299,Hombre,Adidas Core / Neo,3,49
  Sport Inspired Blaze Runner ,CK9430,5599,Hombre,Adidas Core / Neo,26,80
  Originals Arkyn ,CG6228,11999,Mujer,Adidas Originals,31,65
  Originals Deerupt Runner ,DB3600,9999,Mujer,Adidas Originals,27,87
  Running 90S Valasion ,EE9892,8999,Hombre,Adidas Core / Neo,35,43
  Sport Inspired Zeta 2.0 ,CL7461,4599,Hombre,Adidas Core / Neo,29,58
  Running Puaro ,CK9678,4999,Hombre,Adidas Core / Neo,15,0
  Running Helkin 3 ,CK9696,4599,Hombre,Adidas Core / Neo,41,94
  Running Helkin 3 ,CK9695,4599,Hombre,Adidas Core / Neo,2,52
  Running Erdiga 4.0 ,CK9683,4999,Hombre,Adidas Core / Neo,46,39
  Running Kylen 1.0 ,CK9692,4999,Hombre,Adidas Core / Neo,38,21
  Running Galaxy 4 ,EE7919,5999,Hombre,Adidas Core / Neo,43,87
  Running Flank ,CL7517,5299,Hombre,Adidas Core / Neo,27,42
  Running Helkin 3 ,CK9698,4599,Hombre,Adidas Core / Neo,47,8
  Sport Inspired Phanko ,CK9418,5599,Hombre,Adidas Core / Neo,27,74
Unisex  Originals Marathon Tech ,EF0322,12999,Hombre,Adidas Originals,25,23
  Sport Inspired Binafo ,CK9427,5299,Hombre,Adidas Core / Neo,5,59
  Sport Inspired Archivo ,EF0437,5599,Hombre,Adidas Core / Neo,42,89
  Sport Inspired Archivo ,EF0435,5599,Hombre,Adidas Core / Neo,24,99
  Running Arius 1.0 ,CJ8090,4999,Hombre,Adidas Core / Neo,36,28
  Running Bound ,CL7542,4999,Hombre,Adidas Core / Neo,27,97
  Running Rush ,CL7311,3599,Hombre,Adidas Core / Neo,25,22
  Running Duramo 9 ,EE8028,5999,Hombre,Adidas Core / Neo,36,15
  Sport Inspired Blaze Runner ,CL7398,5599,Hombre,Adidas Core / Neo,49,28
  Running Dracon ,CL7306,3999,Hombre,Adidas Core / Neo,41,70
  Running Helkin 3 ,CK9697,4599,Hombre,Adidas Core / Neo,39,43
  Running Nayo 1.0 ,CI9915,4999,Hombre,Adidas Core / Neo,34,65
  Running Nayo 2.0 ,CK9590,5299,Hombre,Adidas Core / Neo,1,51
  Running Zeta 1.0 ,CL7458,5999,Hombre,Adidas Core / Neo,41,89
  Running Nayo 1.0 ,CI9913,4999,Hombre,Adidas Core / Neo,35,96
  Running Zeta 1.0 ,CL7459,5999,Hombre,Adidas Core / Neo,43,74
  Running Toril ,CI9991,4999,Hombre,Adidas Core / Neo,24,58
  Running Asweerun ,F36996,5599,Hombre,Adidas Core / Neo,33,2
  Running Nayo 2.0 ,CJ7974,5299,Hombre,Adidas Core / Neo,47,53
  Sport Inspired Factor ,CL7588,4299,Hombre,Adidas Core / Neo,34,8
  Sport Inspired Quickspike ,CL7407,3999,Hombre,Adidas Core / Neo,48,91
  Sport Inspired Quickspike ,CL7406,3999,Hombre,Adidas Core / Neo,0,85
  Sport Inspired Phanko ,CK9420,5599,Hombre,Adidas Core / Neo,46,2
  Sport Inspired Stunn ,CL7389,5599,Hombre,Adidas Core / Neo,35,40
  Running Flank ,CL7516,5299,Hombre,Adidas Core / Neo,48,28
  Running Toril 1.0 ,CI9989,4999,Hombre,Adidas Core / Neo,22,18
  Sport Inspired Quickspike ,CL7405,3999,Hombre,Adidas Core / Neo,38,49
